,Statcast Metrics
Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.)Vertical Break (Inches),,HBreak (In.)Horizontal Break (Inches),
75, , Sam Gaviglio, , Jahdiel Santamaria, 178, 30, 48, 7," In play, out(s)", Slider, 82.3, 2156, 31, ↓, 4, ←
76, , Sam Gaviglio, , Allen Cordoba, 177, 29, 47, 7," In play, run(s)", Changeup, 80.1, 1675, 32, ↓, 13, ←
77, , Sam Gaviglio, , Luis Castillo, 176, 28, 46, 7," In play, out(s)", Changeup, 79.1, 1550, 39, ↓, 14, ←
78, , Sam Gaviglio, , Luis Castillo, 175, 27, 46, 7, Ball, Sinker, 83.3, 2001, 32, ↓, 11, ←
79, , Sam Gaviglio, , Erasmo Caballero, 174, 26, 45, 7," In play, out(s)", Sinker, 85.9, 2099, 32, ↓, 13, ←
80, , Sam Gaviglio, , Erasmo Caballero, 173, 25, 45, 7, Ball, Sinker, 85.9, 2122, 29, ↓, 13, ←
81, , Sam Gaviglio, , Erasmo Caballero, 172, 24, 45, 7, Called Strike, Sinker, 85.0, 2070, 30, ↓, 14, ←
82, , Sam Gaviglio, , Jose Ramos, 171, 23, 44, 7," In play, no out", Sinker, 85.5, 2140, 30, ↓, 14, ←
83, , Sam Gaviglio, , Jose Ramos, 170, 22, 44, 7, Ball, Changeup, 79.5, 1417, 38, ↓, 13, ←
84, , Humberto Mejia, , Brett Sullivan, 169, 27, 43, 6," In play, out(s)", Curveball, 78.5, 2485, 56, ↓, 5, →
85, , Humberto Mejia, , Brett Sullivan, 168, 26, 43, 6, Ball, Curveball, 78.7, 2511, 60, ↓, 8, →
86, , Humberto Mejia, , Brett Sullivan, 167, 25, 43, 6, Foul, 4-Seam Fastball, 94.3, 2302, 12, ↓, 8, ←
87, , Humberto Mejia, , Brett Sullivan, 166, 24, 43, 6, Foul, 4-Seam Fastball, 93.5, 2355, 15, ↓, 8, ←
88, , Humberto Mejia, , Brett Sullivan, 165, 23, 43, 6, Called Strike, Curveball, 79.1, 2545, 55, ↓, 3, →
89, , Humberto Mejia, , Brett Sullivan, 164, 22, 43, 6, Foul, 4-Seam Fastball, 94.0, 2281, 15, ↓, 8, ←
90, , Humberto Mejia, , Dominic Fletcher, 163, 21, 42, 6," In play, out(s)", 4-Seam Fastball, 93.7, 2294, 14, ↓, 6, ←
91, , Humberto Mejia, , Dominic Fletcher, 162, 20, 42, 6, Foul, Changeup, 86.4, 1977, 28, ↓, 15, ←
92, , Humberto Mejia, , Dominic Fletcher, 161, 19, 42, 6, Ball, 4-Seam Fastball, 93.7, 2320, 15, ↓, 10, ←
93, , Humberto Mejia, , Dominic Fletcher, 160, 18, 42, 6, Foul, Changeup, 85.8, 1911, 30, ↓, 15, ←
94, , Humberto Mejia, , Dominic Fletcher, 159, 17, 42, 6, Ball, 4-Seam Fastball, 93.1, 2218, 14, ↓, 9, ←
95, , Humberto Mejia, , Vinnie Pasquantino, 158, 16, 41, 6, Called Strike, 4-Seam Fastball, 93.2, 2235, 17, ↓, 9, ←
96, , Humberto Mejia, , Vinnie Pasquantino, 157, 15, 41, 6, Swinging Strike, 4-Seam Fastball, 92.8, 2248, 17, ↓, 9, ←
97, , Humberto Mejia, , Vinnie Pasquantino, 156, 14, 41, 6, Foul Bunt, Changeup, 85.2, 1857, 34, ↓, 15, ←
98, , Sam Gaviglio, , Christian Bethancourt, 155, 21, 40, 6," In play, out(s)", Sinker, 85.2, 2151, 30, ↓, 5, ←
99, , Sam Gaviglio, , Christian Bethancourt, 154, 20, 40, 6, Foul, Sinker, 84.4, 1996, 30, ↓, 10, ←
100, , Sam Gaviglio, , Christian Bethancourt, 153, 19, 40, 6, Foul, Sinker, 85.7, 2008, 30, ↓, 15, ←
101, , Sam Gaviglio, , Jonathan Arauz, 152, 18, 39, 6, Hit By Pitch, Sinker, 86.2, 2057, 27, ↓, 17, ←
102, , Sam Gaviglio, , Jonathan Arauz, 151, 17, 39, 6, Foul, Changeup, 81.3, 1293, 41, ↓, 9, ←
103, , Sam Gaviglio, , Jonathan Arauz, 150, 16, 39, 6, Foul, Sinker, 86.1, 2086, 31, ↓, 14, ←
104, , Sam Gaviglio, , Jonathan Arauz, 149, 15, 39, 6, Foul, Sinker, 85.4, 2020, 31, ↓, 15, ←
105, , Sam Gaviglio, , Jonathan Arauz, 148, 14, 39, 6, Ball, Changeup, 79.5, 1483, 40, ↓, 16, ←
106, , Sam Gaviglio, , Jonathan Arauz, 147, 13, 39, 6, Ball, Sinker, 85.9, 2001, 31, ↓, 16, ←
107, , Sam Gaviglio, , Ruben Tejada, 146, 12, 38, 6," In play, out(s)", Sinker, 83.7, 2103, 32, ↓, 12, ←
108, , Sam Gaviglio, , Jose Caballero, 145, 11, 37, 6," In play, no out", Sinker, 85.4, 2032, 30, ↓, 12, ←
109, , Humberto Mejia, , Sal Frelick, 144, 13, 36, 5," In play, out(s)", 4-Seam Fastball, 93.8, 2353, 13, ↓, 12, ←
110, , Humberto Mejia, , Sal Frelick, 143, 12, 36, 5, Ball, Changeup, 86.6, 2002, 27, ↓, 16, ←
111, , Humberto Mejia, , Sal Frelick, 142, 11, 36, 5, Swinging Strike, Changeup, 86.1, 2053, 29, ↓, 16, ←
112, , Humberto Mejia, , Sal Frelick, 141, 10, 36, 5, Ball, Sinker, 93.0, 2286, 17, ↓, 14, ←
113, , Humberto Mejia, , David Fletcher, 140, 9, 35, 5," In play, out(s)", Sinker, 93.3, 2297, 17, ↓, 12, ←
114, , Humberto Mejia, , Dominic Miroglio, 139, 8, 34, 5," In play, out(s)", 4-Seam Fastball, 92.9, 2201, 15, ↓, 9, ←
115, , Humberto Mejia, , Dominic Miroglio, 138, 7, 34, 5, Ball, 4-Seam Fastball, 93.4, 2340, 13, ↓, 9, ←
116, , Humberto Mejia, , Miles Mastrobuoni, 137, 6, 33, 5, Ball, 4-Seam Fastball, 93.0, 2301, 14, ↓, 8, ←
117, , Humberto Mejia, , Miles Mastrobuoni, 136, 5, 33, 5, Ball, Curveball, 80.7, 2516, 48, ↓, 1, ←
118, , Humberto Mejia, , Miles Mastrobuoni, 135, 4, 33, 5, Ball, 4-Seam Fastball, 92.4, 2285, 16, ↓, 11, ←
119, , Humberto Mejia, , Miles Mastrobuoni, 134, 3, 33, 5, Ball, 4-Seam Fastball, 92.1, 2283, 15, ↓, 9, ←
120, , Humberto Mejia, , Nicky Lopez, 133, 2, 32, 5," In play, no out", 4-Seam Fastball, 93.6, 2300, 14, ↓, 7, ←
121, , Humberto Mejia, , Nicky Lopez, 132, 1, 32, 5, Called Strike, 4-Seam Fastball, 93.4, 2291, 11, ↓, 8, ←
122, , Sam Gaviglio, , Jahdiel Santamaria, 131, 10, 31, 5," In play, out(s)", Slider, 82.3, 2226, 33, ↓, 1, ←
123, , Sam Gaviglio, , Jahdiel Santamaria, 130, 9, 31, 5, Called Strike, Sinker, 86.4, 2182, 25, ↓, 11, ←
124, , Sam Gaviglio, , Allen Cordoba, 129, 8, 30, 5, Hit By Pitch, Sinker, 84.9, 2069, 30, ↓, 12, ←
125, , Sam Gaviglio, , Allen Cordoba, 128, 7, 30, 5, Ball, Changeup, 82.4, 1692, 29, ↓, 14, ←
126, , Sam Gaviglio, , Allen Cordoba, 127, 6, 30, 5, Swinging Strike, Sinker, 83.8, 2170, 24, ↓, 2, ←
127, , Sam Gaviglio, , Luis Castillo, 126, 5, 29, 5," In play, out(s)", Changeup, 81.7, 1559, 34, ↓, 14, ←
128, , Sam Gaviglio, , Luis Castillo, 125, 4, 29, 5, Foul, Sinker, 85.7, 2036, 29, ↓, 17, ←
129, , Sam Gaviglio, , Luis Castillo, 124, 3, 29, 5, Ball, Sinker, 86.0, 2048, 28, ↓, 18, ←
130, , Sam Gaviglio, , Erasmo Caballero, 123, 2, 28, 5," In play, no out", Sinker, 84.8, 2010, 32, ↓, 16, ←
131, , Sam Gaviglio, , Erasmo Caballero, 122, 1, 28, 5, Ball, Sinker, 86.1, 2024, 29, ↓, 15, ←
132, , Harold Arauz, , Robel Garcia, 121, 64, 27, 4, Called Strike, Slider, 82.4, 2363, 36, ↓, 1, →
133, , Harold Arauz, , Robel Garcia, 120, 63, 27, 4, Ball, Slider, 83.2, 2248, 36, ↓, 1, →
134, , Harold Arauz, , Robel Garcia, 119, 62, 27, 4, Swinging Strike, Cutter, 88.0, 2410, 24, ↓, 2, →
135, , Harold Arauz, , Robel Garcia, 118, 61, 27, 4, Ball, Slider, 84.3, 2373, 33, ↓, 3, →
136, , Harold Arauz, , Robel Garcia, 117, 60, 27, 4, Swinging Strike, Slider, 84.4, 2329, 35, ↓, 1, →
137, , Harold Arauz, , Brett Sullivan, 116, 59, 26, 4," In play, out(s)", Cutter, 88.5, 2363, 24, ↓, 3, ←
138, , Harold Arauz, , Brett Sullivan, 115, 58, 26, 4, Ball, Cutter, 88.3, 2383, 27, ↓, 2, ←
139, , Harold Arauz, , Brett Sullivan, 114, 57, 26, 4, Called Strike, Cutter, 89.2, 2307, 26, ↓, 2, ←
140, , Harold Arauz, , Brett Sullivan, 113, 56, 26, 4, Ball, Slider, 82.1, 2366, 39, ↓, 6, →
141, , Harold Arauz, , Brett Sullivan, 112, 55, 26, 4, Ball, Curveball, 77.9, 2564, 59, ↓, 6, →
142, , Harold Arauz, , Dominic Fletcher, 111, 54, 25, 4," In play, out(s)", Slider, 82.4, 2411, 36, ↓, 5, →
143, , Harold Arauz, , Dominic Fletcher, 110, 53, 25, 4, Called Strike, Slider, 81.3, 2224, 40, ↓, 4, →
144, , Harold Arauz, , Dominic Fletcher, 109, 52, 25, 4, Ball, Cutter, 87.9, 2294, 25, ↓, 0, 
145, , Harold Arauz, , Dominic Fletcher, 108, 51, 25, 4, Foul, Cutter, 88.2, 2268, 24, ↓, 2, ←
146, , Harold Arauz, , Dominic Fletcher, 107, 50, 25, 4, Ball, Curveball, 76.1, 2370, 60, ↓, 5, →
147, , Michele Vassalotti, , Jose Ramos, 106, 57, 24, 4, Swinging Strike, Cutter, 85.8, 2587, 27, ↓, 2, →
148, , Michele Vassalotti, , Jose Ramos, 105, 56, 24, 4, Swinging Strike, Cutter, 86.3, 2485, 27, ↓, 4, →
149, , Michele Vassalotti, , Jose Ramos, 104, 55, 24, 4, Foul, Changeup, 85.1, 1720, 36, ↓, 16, ←
150, , Michele Vassalotti, , Jose Ramos, 103, 54, 24, 4, Ball, Cutter, 84.4, 2298, 28, ↓, 5, ←
151, , Michele Vassalotti, , Christian Bethancourt, 102, 53, 23, 4," In play, out(s)", 4-Seam Fastball, 91.6, 2336, 18, ↓, 5, ←
152, , Michele Vassalotti, , Christian Bethancourt, 101, 52, 23, 4, Foul, 4-Seam Fastball, 92.3, 2306, 16, ↓, 8, ←
153, , Michele Vassalotti, , Christian Bethancourt, 100, 51, 23, 4, Ball In Dirt, Cutter, 84.6, 2527, 34, ↓, 2, →
154, , Michele Vassalotti, , Christian Bethancourt, 99, 50, 23, 4, Foul, 4-Seam Fastball, 92.5, 2443, 14, ↓, 6, ←
155, , Michele Vassalotti, , Christian Bethancourt, 98, 49, 23, 4, Swinging Strike, 4-Seam Fastball, 91.0, 2217, 19, ↓, 5, ←
156, , Michele Vassalotti, , Christian Bethancourt, 97, 48, 23, 4, Swinging Strike, 4-Seam Fastball, 90.5, 2311, 17, ↓, 7, ←
157, , Michele Vassalotti, , Jonathan Arauz, 96, 47, 22, 4, Ball, 4-Seam Fastball, 90.7, 2363, 18, ↓, 5, ←
158, , Michele Vassalotti, , Jonathan Arauz, 95, 46, 22, 4, Ball, Changeup, 85.7, 1722, 32, ↓, 16, ←
159, , Michele Vassalotti, , Jonathan Arauz, 94, 45, 22, 4, Foul, 4-Seam Fastball, 90.6, 2377, 17, ↓, 8, ←
160, , Michele Vassalotti, , Jonathan Arauz, 93, 44, 22, 4, Called Strike, 4-Seam Fastball, 90.0, 2335, 17, ↓, 9, ←
161, , Michele Vassalotti, , Jonathan Arauz, 92, 43, 22, 4, Ball, 4-Seam Fastball, 91.3, 2347, 17, ↓, 10, ←
162, , Michele Vassalotti, , Jonathan Arauz, 91, 42, 22, 4, Ball, 4-Seam Fastball, 92.2, 2371, 16, ↓, 8, ←
163, , Harold Arauz, , Vinnie Pasquantino, 90, 49, 21, 3, Swinging Strike, Curveball, 78.3, 2417, 53, ↓, 8, →
164, , Harold Arauz, , Vinnie Pasquantino, 89, 48, 21, 3, Ball, Slider, 82.1, 2259, 37, ↓, 2, →
165, , Harold Arauz, , Vinnie Pasquantino, 88, 47, 21, 3, Foul, Cutter, 88.8, 2448, 25, ↓, 2, →
166, , Harold Arauz, , Vinnie Pasquantino, 87, 46, 21, 3, Foul, Slider, 83.9, 2387, 36, ↓, 1, →
167, , Harold Arauz, , Vinnie Pasquantino, 86, 45, 21, 3, Ball, Cutter, 90.0, 2488, 26, ↓, 0, 
168, , Harold Arauz, , Vinnie Pasquantino, 85, 44, 21, 3, Swinging Strike, Slider, 83.6, 2340, 35, ↓, 4, →
169, , Harold Arauz, , Sal Frelick, 84, 43, 20, 3," In play, out(s)", Slider, 83.1, 2264, 34, ↓, 2, →
170, , Harold Arauz, , Sal Frelick, 83, 42, 20, 3, Foul, Cutter, 88.9, 2415, 27, ↓, 2, ←
171, , Harold Arauz, , Sal Frelick, 82, 41, 20, 3, Ball, Slider, 82.5, 2206, 36, ↓, 3, →
172, , Harold Arauz, , Sal Frelick, 81, 40, 20, 3, Swinging Strike, Slider, 83.6, 2226, 36, ↓, 1, →
173, , Harold Arauz, , Sal Frelick, 80, 39, 20, 3, Called Strike, Cutter, 89.7, 2360, 24, ↓, 4, ←
174, , Harold Arauz, , David Fletcher, 79, 38, 19, 3," In play, out(s)", Slider, 82.1, 2100, 36, ↓, 2, ←
175, , Harold Arauz, , David Fletcher, 78, 37, 19, 3, Ball, Slider, 84.2, 2257, 34, ↓, 3, ←
176, , Harold Arauz, , David Fletcher, 77, 36, 19, 3, Foul, Curveball, 78.9, 2483, 53, ↓, 3, →
177, , Harold Arauz, , David Fletcher, 76, 35, 19, 3, Foul, Cutter, 89.4, 2315, 23, ↓, 4, ←
178, , Harold Arauz, , David Fletcher, 75, 34, 19, 3, Swinging Strike, Cutter, 88.5, 2273, 24, ↓, 1, ←
179, , Michele Vassalotti, , Ruben Tejada, 74, 41, 18, 3," In play, out(s)", 4-Seam Fastball, 94.1, 2408, 16, ↓, 6, ←
180, , Michele Vassalotti, , Ruben Tejada, 73, 40, 18, 3, Ball, 4-Seam Fastball, 94.9, 2395, 15, ↓, 8, ←
181, , Michele Vassalotti, , Ruben Tejada, 72, 39, 18, 3, Ball, Cutter, 84.5, 2427, 33, ↓, 5, →
182, , Michele Vassalotti, , Ruben Tejada, 71, 38, 18, 3, Foul, 4-Seam Fastball, 93.6, 2466, 17, ↓, 5, ←
183, , Michele Vassalotti, , Ruben Tejada, 70, 37, 18, 3, Swinging Strike, 4-Seam Fastball, 92.5, 2484, 18, ↓, 6, ←
184, , Michele Vassalotti, , Ruben Tejada, 69, 36, 18, 3, Ball, Cutter, 85.0, 2264, 28, ↓, 4, →
185, , Michele Vassalotti, , Jose Caballero, 68, 35, 17, 3," In play, out(s)", 4-Seam Fastball, 93.0, 2358, 16, ↓, 5, ←
186, , Michele Vassalotti, , Jose Caballero, 67, 34, 17, 3, Foul, 4-Seam Fastball, 92.9, 2377, 16, ↓, 7, ←
187, , Michele Vassalotti, , Jahdiel Santamaria, 66, 33, 16, 3, Swinging Strike, 4-Seam Fastball, 91.8, 2371, 16, ↓, 7, ←
188, , Michele Vassalotti, , Jahdiel Santamaria, 65, 32, 16, 3, Foul, 4-Seam Fastball, 93.5, 2354, 16, ↓, 7, ←
189, , Michele Vassalotti, , Jahdiel Santamaria, 64, 31, 16, 3, Called Strike, 4-Seam Fastball, 90.3, 2322, 19, ↓, 8, ←
190, , Harold Arauz, , Dominic Miroglio, 63, 33, 15, 2," In play, out(s)", Slider, 83.6, 2265, 36, ↓, 3, →
191, , Harold Arauz, , Dominic Miroglio, 62, 32, 15, 2, Swinging Strike, Slider, 83.1, 2500, 39, ↓, 2, →
192, , Harold Arauz, , Dominic Miroglio, 61, 31, 15, 2, Ball, Cutter, 89.0, 2440, 24, ↓, 2, →
193, , Harold Arauz, , Miles Mastrobuoni, 60, 30, 14, 2," In play, out(s)", Curveball, 78.2, 2396, 54, ↓, 3, →
194, , Harold Arauz, , Miles Mastrobuoni, 59, 29, 14, 2, Swinging Strike, Curveball, 78.5, 2453, 52, ↓, 4, →
195, , Harold Arauz, , Miles Mastrobuoni, 58, 28, 14, 2, Ball, Curveball, 78.0, 2393, 58, ↓, 5, →
196, , Harold Arauz, , Miles Mastrobuoni, 57, 27, 14, 2, Called Strike, Cutter, 89.5, 2338, 20, ↓, 5, ←
197, , Harold Arauz, , Miles Mastrobuoni, 56, 26, 14, 2, Ball, Slider, 81.6, 2554, 37, ↓, 1, →
198, , Harold Arauz, , Miles Mastrobuoni, 55, 25, 14, 2, Ball, Cutter, 89.3, 2460, 21, ↓, 1, ←
